Unnamed: 0,code,symbol
8,C0121,singleton-comparison
12,C0200,consider-using-enumerate
40,C1801,len-as-condition
163,R0123,literal-comparison
172,R0801,duplicate-code
178,R0912,too-many-branches
189,R1707,trailing-comma-tuple
192,R1710,inconsistent-return-statements
196,R1714,consider-using-in
214,R1732,Consider-using-with
217,W0102,dangerous-default-value
238,W0201,attribute-defined-outside-init
241,W0221,arguments-differ
254,W0401,wildcard-import
270,W0622,redefined-builtin
